platform,rating,title,text,date,author,location
Just Eat,1,Many time we ordered from different…,"Many time we ordered from different restaurant ,with no problem . Today our order from Orlandos never arrived. On the website shows :delivered . What a joke. Contacted with costumer service ,they dont know what happened . They will send back our money withjn 5-7 days .Are you kidding??? No dinner today ,and no money ??? You need to select your driver more carefully !",2025-10-17,Timea Babcsan,N/A
Just Eat,5,Always reliable.,Never had any trouble with the orders or deliveries.  Just Eat is dependable when one is hungry and wants a hassle free meal ASAP.,2025-10-14,E. McCarthy,N/A
Just Eat,5,All the best restaurants,"All the best restaurants at your fingertips, no calls needed. Food delivered on time.",2025-10-14,Louise,N/A
Just Eat,1,Chop Chop and Just Eat - don't do it!,"Food was ordered from Chop Chop Clanbrassil Street. The delivery was moving fine on the app and then didn't arrive. When queried, driver claimed to have phone called 4 times but no calls were received. Chop Chop don't care about it. The phone number on the system is correct. Just-Eat don't care and will not issue a credit. Driver can lie and keep your food and Just-Eat agree with this practice clearly.",2025-10-14,JP,N/A
Just Eat,1,Customer care is a joke going back and…,Customer care is a joke going back and fort since Saturday and ignoring my concerns and issues completely gas lightening me speaking to a robot last time im using the app. I want my money back I did not recieve my food !!!,2025-10-14,Naed Enolam,N/A
Just Eat,4,"Good ,fast and reliable","Good ,fast and reliable",2025-10-12,richard skelly,N/A
Just Eat,1,Couriers are thieves!!!!!!,"Delivery status was delivered but it never arrived. I rang the restaurant and they confirmed that it was given to the delivery driver almost an hour ago. Restaurant told me the couriers are always""robbing the orders"". Needless to say it will be the last time I will ever use just eat. Zero customer service from just eat.  I would give zero stars if i could. Avoid like the plague!!",2025-10-10,Louise C,N/A
Just Eat,1,Awful delivery constantly going to the…,"Awful delivery constantly going to the wrong address, awful customer service I would never recommend this to anyone",2025-10-09,Barry,N/A
Just Eat,1,just got scammed,"just got scammed, the order didn't arrive and it says ""Delivered"" thank you very much.UPD: ""We've looked into everything in detail to see what we can do. On this occasion, we're unable to offer a refund or compensation based on all the information we have. We appreciate your understanding.""So they are simply thieves and they don't care.",2025-10-09,Valentyn Oleinyk,N/A
Just Eat,5,Handy and easy to get ant problems…,Handy and easy to get ant problems resolved,2025-10-09,Dan Heenan,N/A
Just Eat,5,Hggg,Good to be honest,2025-10-08,MATTHEW HEALY,N/A
Just Eat,1,Rubbish at what they do,Rubbish at what they do. Order placed well in advance so that they had plenty of time to schedule a driver. Even with that it didn't arrive. Called them after 30 minutes late. Was told it was on the way but I called the restaurant who told me it still hasn't been collected!! In the end it wasn't even collected at all!! Called them a total of 3 times and no food was delivered. I will not use them again. Maybe they should invest in driver's training instead of adverts!!,2025-10-05,ego_cronixx,N/A
Just Eat,1,Horrible,Horrible. Ordered 3 times order never came had to walk to the restaurant and get the food myself. Completely  useless,2025-10-04,Resofincular,N/A
