platform,rating,title,text,date,author,location
Uber Eats,1,Charged for what you order. What you get is a headache. No refunds,"I ordered several things. The store only had 1 of them. I gave a tip and was charged delivery based on the total price. The driver didn’t speak either English or Spanish. I wound up paying $44 for a $9 item and giving a $9 tip. Multiple messages to customer service yielded nothing. This service is deeply flawed. You’re billed for what you order, not what you recieve.",2025-10-19,cree lawson,N/A
Uber Eats,1,Rubbish service,"Very disappointing experience. My order was never delivered, and there was no way to contact anyone for help. I called the restaurant (Arome Bradford), and they said the driver is an older Uber driver who comes there often, so I should get in touch with Uber Eats — but they weren’t helpful at all. Overall, a terrible experience and not even worth 1 star.",2025-10-18,Customer,N/A
Uber Eats,1,30 minutes late breakfast but Uber eats still gets paid,Ordered breakfast and driver had one stop before delivering mine. This is fine but 20 minutes later my food still wasn’t here so I cancelled my order knowing that the eggs are probably gonna be cold. I used the app to do the cancellation and I still got charged $25. I called customer support and they told me I’m out of luck. I spent hundreds of dollars with Uber eats never had this problem before. I now cancelled my account and I’ll stick with DoorDash because they deal with situations like this much better than Uber eats.,2025-10-18,Bro RomanYah,N/A
Uber Eats,1,Uber consistently messed up orders and…,"Uber consistently messed up orders and refused refunds. Twice in a row, food was delivered to the wrong flat, and I was refused a refund. Definetly going to use a different service in the future.",2025-10-18,Austin Cunningham,N/A
Uber Eats,1,Poor and very disappointed,Food was poor inedible but contacted uber eats and no resolution at all,2025-10-18,customer,N/A
Uber Eats,1,Got off work ordered food,Got off work ordered food. And first time ever the whole thing didnt arrive. They didnt take picture of food left. I went out right away when they said it arrived. I immediately went out to no food and door cam caught no one dropping off food. I tried calling him no answer. And called support right away. And they said they cannot refund my $20. So I got screwed out of $20 and no food.,2025-10-18,Dominic Valencia,N/A
Uber Eats,1,Uber Eats getting greedy and worst than ever,"Uber Eats it’s getting more and more greedy and worst customer experience by the minute. I found out that the reason why your food order delays it’s due to Uber asking drivers to pick up more orders at the same time, and if they declined, Uber will cancel their accounts. However, if you want your order deliver on time, you must pay extra charge. This is in addition to service charges, menu’s price increases through Uber, and last but not least the tip. Also, don’t get fooled by the membership discounts, you don’t get such discounts.",2025-10-18,Magda,N/A
Uber Eats,1,I had to cancel my order because I…,I had to cancel my order because I forgot to change the address on my account so they took all my money f... Uber eats there's no way the cancelation fee is $37 i wish ubereats the best of luck so now I have to starve,2025-10-18,Lulu,N/A
Uber Eats,1,Every time I order from them I am over…,Every time I order from them I am over charged and my food is discusting  how is there even a service like this ? You work late want something and then starve using them worst service ever,2025-10-18,ELL L,N/A
Uber Eats,1,Poor service avoid,"Ordered 3 mcdonalds , In a couple of monthsAll cold Drivers aparently struggle with address system Poor customer service Poor refundsUse just eat, better customer service, better refunds quicker food, better deliver driver maps",2025-10-18,George Whitehouse,N/A
Uber Eats,1,I made an order by an accident and…,"I made an order by an accident and canceled it right away. I even called to confirm with them that the order was placed at 5:18 and canceled at 5:18. That order was up for maybe 10 seconds and I canceled it. They gave me a partial refund and still charge me nearly $20 saying that the restaurant already started making it. It is impossible that the restaurant started making the order within 10 seconds of me placing it. A total ripoff, I am now canceling my account and going to DoorDash. I want my money back.",2025-10-17,Haydenn Harper,N/A
Uber Eats,1,I ordered something from my local…,"I ordered something from my local Morrison for £20.58, having waited for 40 minutes I was told that the order had been canceled! I was charged for this when I ordered the goods and have still not been refunded! Surely it is against the law to charge for items before uber eats know they are available? Rubbish site which charge a premium for the goods before they are delivered.",2025-10-17,michael warren,N/A
Uber Eats,1,Ordered 3 x meals from McDonalds,"Ordered 3 x meals from McDonalds, the food looked like it had set off arrival 11 mins in the car, then after a while it went 20 with food probably standing for about 30 minutes.  The food came cold and inedible and missing the additional BBQ dip.  I reported the Dip missing, the it wouldn't let me report the food as they had give me 22 pence as a refund, less than 1% of the whole order which was inedible.  The phone help line just sends you a link and brings you back around to the website which doesn't want to know as I had a 22p refund and that means I lose my statutory rights according to Uber, no way of phoning or emailing and shut off by the website.   It is impossible to complain with going on Social Media,",2025-10-17,Mick C,N/A
Uber Eats,1,Unbelievable,"I am so sick and tired of thos app. My mum and dad are vurnarble disabled people. All they wanted was 24 cans of diet Pepsi, willing to pay more and adding on two items they didnt need just too make it more worthwhile for the driver. 1 minute before the driver arrived we were notified us that they only had one of the items EGGS! The reason we ordered was for a heavy pk of 24 cans of diet Pepsi instead the where charged £6 for 12 eggs.I am so tired of the lack of customer care, lack of any customer services and anyway to communicate that this is just ludicrous for someone to deliver 12 eggs for £6 to two vurnarble humans.  I wouldn't even give one star because ive had so many issues with this app in the past two weeks im deleting it and will be making sure that the people I know not to use it.",2025-10-17,Jennifer Hart,N/A
Uber Eats,1,Just very very bad,"Useless platform, 0 customer service.",2025-10-17,J K,N/A
